Name,Model,Latitude,Longitude,height,diameter,visible
WEA-b01,vestas-v172.dae,48.25170660125827,8.531436993300845,199,172,1
WEA-b02,vestas-v172.dae,48.25537579666756,8.537077928055313,199,172,1
WEA-b03,vestas-v172.dae,48.25430959801488,8.544355979289067,199,172,1
WEA-b04,vestas-v172.dae,48.245614384105274,8.535285960123447,199,172,0 
WEA-b05,vestas-v172.dae,48.26480954525706,8.559402023685573,199,172,1
WEA-b06?,vestas-v172.dae,48.26735465293141,8.552484489913489,199,172,1
WEA-b07p,vestas-v172.dae,48.260399484904646,8.555113991488966,199,172,1
WEA-b08p,vestas-v172.dae,48.256641433279505,8.55651639235124,199,172,1
WEA-b09fbw,vestas-v172.dae,48.25299982781231,8.558444693536861,199,172,1
WEA-b10fbw,vestas-v172.dae,48.26009604999397,8.563002496455592,199,172,1
WEA-b11fbw,vestas-v172.dae,48.256781489825464,8.566929219024592,199,172,1
WEA-b12fbw,vestas-v172.dae,48.25283641633541,8.568927640253328,199,172,1
        
